"大分類カテゴリーコード","大分類カテゴリー","中分類カテゴリーコード","中分類カテゴリー","小分類カテゴリーコード","小分類カテゴリー"
"100000002","メンズファッション","200000021","アウター","300002280","デニム"
"100000002","メンズファッション","200000021","アウター","300002282","ポンチョ"
"100000002","メンズファッション","200000021","アウター","300002283","ベスト"
"100000002","メンズファッション","200000021","アウター","300002284","ダウンジャケット"
"100000002","メンズファッション","200000021","アウター","300002285","革・ライダース"
"100000002","メンズファッション","200000021","アウター","300002286","モッズ・ミリタリー"
"100000002","メンズファッション","200000021","アウター","300002287","ロングコート"
"100000002","メンズファッション","200000021","アウター","320001566","ツイード"
"100000002","メンズファッション","200000021","アウター","320001567","テーラード"
"100000002","メンズファッション","200000021","アウター","320001568","トレンチ"
"100000002","メンズファッション","200000023","パンツ","300000062","デニム・ジーンズ"
"100000002","メンズファッション","200000023","パンツ","300000063","クロップドパンツ"
"100000002","メンズファッション","200000023","パンツ","300000064","その他"
"100000002","メンズファッション","200000023","パンツ","300002207","トレーニングボトムス"
"100000002","メンズファッション","200000023","パンツ","300002288","ハーフパンツ"
"100000002","メンズファッション","200000023","パンツ","300002289","ロングパンツ"
"100000002","メンズファッション","200000025","インナー・靴下","300000066","ボクサーパンツ"
"100000002","メンズファッション","200000025","インナー・靴下","300000067","アンダーシャツ"
"100000002","メンズファッション","200000025","インナー・靴下","300000068","その他"
"100000002","メンズファッション","200000025","インナー・靴下","300002290","機能性インナー"
"100000002","メンズファッション","200000025","インナー・靴下","300002291","パジャマ・ルームウェア"
"100000002","メンズファッション","200000025","インナー・靴下","300002292","靴下"
"100000002","メンズファッション","200000025","インナー・靴下","300002293","メンズレギンス・タイツ"
"100000002","メンズファッション","200000025","インナー・靴下","320001569","トランクス"
"100000002","メンズファッション","200000025","インナー・靴下","320001570","ブリーフ"
"100000002","メンズファッション","200000031","その他メンズファッション","300000076","その他"
"100000002","メンズファッション","200000031","その他メンズファッション","300002298","水着"
"100000002","メンズファッション","200000031","その他メンズファッション","300002299","大きいサイズ"
"100000002","メンズファッション","200000031","その他メンズファッション","300002300","小さいサイズ"
"100000002","メンズファッション","200000031","その他メンズファッション","320001088","作業着"
"100000002","メンズファッション","200000031","その他メンズファッション","320001096","セットアップ"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","300000078","カジュアル"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","300000081","その他"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","300000748","ブーツ"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","300002333","ビジネス"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","300002334","ローファー"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","320001468","スリッパ"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","320001469","サンダル"
"100000042","シューズ","200000033","パンプス","300000082","ピンヒール"
"100000042","シューズ","200000033","パンプス","300000084","オープントゥ"
"100000042","シューズ","200000033","パンプス","300000085","スクエアトゥ"
"100000042","シューズ","200000033","パンプス","300000088","その他"
"100000042","シューズ","200000033","パンプス","300000745","ラウンドトゥ"
"100000042","シューズ","200000033","パンプス","300000746","ポインテッドトゥ"
"100000042","シューズ","200000033","パンプス","300002321","ウェッジソール"
"100000042","シューズ","200000033","パンプス","300002585","ハンドメイド・オーダーメイド"
"100000042","シューズ","200000033","パンプス","320001142","バレエシューズ"
"100000042","シューズ","200000034","スニーカー・スリッポン","300000089","レザースニーカー"
"100000042","シューズ","200000034","スニーカー・スリッポン","300000755","ハイカットスニーカー"
"100000042","シューズ","200000034","スニーカー・スリッポン","300000756","ローカットスニーカー"
"100000042","シューズ","200000034","スニーカー・スリッポン","300000757","その他"
"100000042","シューズ","200000034","スニーカー・スリッポン","300002312","インヒールスニーカー"
"100000042","シューズ","200000034","スニーカー・スリッポン","300002324","厚底スニーカー"
"100000042","シューズ","200000034","スニーカー・スリッポン","300003049","スリッポン"
"100000042","シューズ","200000035","サンダル","300000090","クロックス"
"100000042","シューズ","200000035","サンダル","300000091","その他"
"100000042","シューズ","200000035","サンダル","300000093","ミュール"
"100000042","シューズ","200000035","サンダル","300000094","ビーチサンダル"
"100000042","シューズ","200000035","サンダル","300002313","グラディエーター・フォークロア"
"100000042","シューズ","200000035","サンダル","300002322","ウェッジソール"
"100000042","シューズ","200000035","サンダル","300003050","ストラップ"
"100000042","シューズ","200000035","サンダル","300003051","厚底"
"100000042","シューズ","200000035","サンダル","300003052","トング"
"100000042","シューズ","200000035","サンダル","320001571","コンフォート"
"100000042","シューズ","200000035","サンダル","320001572","サボ"
"100000042","シューズ","200000035","サンダル","320001616","スリッパ"
"100000042","シューズ","200000035","サンダル","320001617","上履き"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","300002342","ネックレス"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001121","指輪"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001451","アンクレット"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001452","ブレスレット"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001453","ケア用品"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001454","ジュエリーボックス"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001455","イヤリング"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001456","ピアス"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001457","コサージュ"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001458","ブローチ"
"100000004","腕時計・アクセサリー","200000037","アクセサリー・ジュエリー","320001459","チャーム"
"100000004","腕時計・アクセサリー","200000042","ファッション腕時計","300000101","カジュアル"
"100000004","腕時計・アクセサリー","200000042","ファッション腕時計","300000102","フォーマル"
"100000004","腕時計・アクセサリー","200000042","ファッション腕時計","300000103","その他"
"100000004","腕時計・アクセサリー","200000042","ファッション腕時計","300002357","メンズ腕時計"
"100000004","腕時計・アクセサリー","200000042","ファッション腕時計","300002358","男女兼用"
"100000004","腕時計・アクセサリー","200000042","ファッション腕時計","300002359","キャラクター"
"100000004","腕時計・アクセサリー","200000042","ファッション腕時計","300002360","スポーツ・アウトドア"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300000104","CASIO"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002362","DIESEL"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002363","SEIKO"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002364","NIXON"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002365","CITIZEN"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002366","G-SHOCK"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002367","その他"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002796","D&G"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002797","ORIENT"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002798","Vivienne Westwood"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002799","adidas"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002800","COACH"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002801","MARC JACOBS"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002802","ARMANI"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002803","GUCCI"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002804","TIMEX"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002805","FOSSIL"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002838","Folli Follie"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002839","SWATCH"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002840","Michael Kors"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002841","Alessandra Olla"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002842","Kate Spade"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002843","Baby-G"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002844","BOY LONDON"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002845","GUESS"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002846","SKAGEN"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002847","TECHNOS"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","300002848","Salvatore Marra"
"100000004","腕時計・アクセサリー","200000043","ブランド腕時計","320001118","ダニエルウェリントン"
"100000003","バッグ・雑貨","200000045","キャリーバッグ","300002371","バッグインバッグ"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300000112","長財布"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300000765","キーケース"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300002164","二つ折り財布"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300002165","コインケース"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300002166","その他"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300002375","名刺入れ・カードケース"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300002863","ポーチ"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","300003080","ポシェット"
"100000003","バッグ・雑貨","200000046","財布・ポーチ","320001139","パスケース"
"100000003","バッグ・雑貨","200000047","バッグ","300000113","ハンドバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300000115","ショルダーバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300000116","トートバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300000117","その他"
"100000003","バッグ・雑貨","200000047","バッグ","300002163","キャリーバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300002167","クラッチバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300002169","リュック・デイパック"
"100000003","バッグ・雑貨","200000047","バッグ","300002170","ボストンバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300002171","エコバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300002372","旅行バッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300002511","ヒップ・ウエストバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300003081","ボディバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","300003082","かごバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","320001140","マザーズバッグ"
"100000003","バッグ・雑貨","200000047","バッグ","320001141","バニティバッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300000118","ビジネス・ブリーフケース"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300000119","リュック・デイパック"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300000120","その他"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300002376","メッセンジャー・ボディバッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300002378","トートバッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300002379","ヒップ・ウエストバッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","320001470","ボストンバッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","320001471","ショルダーバッグ"
"100000003","バッグ・雑貨","200000050","ストール・マフラー","300000763","マフラー"
"100000003","バッグ・雑貨","200000050","ストール・マフラー","300000764","ストール"
"100000003","バッグ・雑貨","200000050","ストール・マフラー","300002382","その他"
"100000003","バッグ・雑貨","200000050","ストール・マフラー","300003086","スヌード"
"100000003","バッグ・雑貨","200000051","ベルト","300000124","レディースベルト"
"100000003","バッグ・雑貨","200000051","ベルト","300002179","男女兼用"
"100000003","バッグ・雑貨","200000051","ベルト","300002383","その他"
"100000003","バッグ・雑貨","200000052","ヘアアクセサリー","300000125","ヘアピン"
"100000003","バッグ・雑貨","200000052","ヘアアクセサリー","300000126","カチューシャ・ヘアバンド"
"100000003","バッグ・雑貨","200000052","ヘアアクセサリー","300000127","その他"
"100000003","バッグ・雑貨","200000052","ヘアアクセサリー","300002180","ヘアゴム・シュシュ"
"100000003","バッグ・雑貨","200000052","ヘアアクセサリー","300003087","ヘアクリップ"
"100000003","バッグ・雑貨","200000053","眼鏡・サングラス","300000128","サングラス"
"100000003","バッグ・雑貨","200000053","眼鏡・サングラス","300000129","眼鏡"
"100000003","バッグ・雑貨","200000053","眼鏡・サングラス","300000130","その他"
"100000003","バッグ・雑貨","200000053","眼鏡・サングラス","300002182","フレーム"
"100000003","バッグ・雑貨","200000053","眼鏡・サングラス","300002384","眼鏡ケース"
"100000003","バッグ・雑貨","200000053","眼鏡・サングラス","300003090","老眼鏡"
"100000008","スポーツ","200000067","スポーツシューズ・雑貨","300000202","メンズスポーツシューズ"
"100000008","スポーツ","200000067","スポーツシューズ・雑貨","300000203","レディーススポーツシューズ"
"100000008","スポーツ","200000067","スポーツシューズ・雑貨","300000205","スポーツバッグ"
"100000008","スポーツ","200000067","スポーツシューズ・雑貨","300000206","スポーツ用品"
"100000008","スポーツ","200000067","スポーツシューズ・雑貨","300000207","アクセサリー"
"100000008","スポーツ","200000067","スポーツシューズ・雑貨","300000209","スポーツグラス・ゴーグル"
"100000008","スポーツ","200000067","スポーツシューズ・雑貨","300000210","スポーツキャップ"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","300000220","マリンスポーツ用品"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","300003035","ラッシュガード"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","320000270","競泳水着"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","320000271","フィットネス水着"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","320000272","その他"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","320000273","ダイビング・シュノーケリング"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","320000274","ライフジャケット"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","320001480","スイムキャップ"
"100000008","スポーツ","200000069","水泳・水着・マリンスポーツ","320001482","ゴーグル"
"100000008","スポーツ","200000070","フィットネス・ヨガ","300000221","フィットネス・ヨガパンツ"
"100000008","スポーツ","200000070","フィットネス・ヨガ","300000222","フィットネス器具"
"100000008","スポーツ","200000070","フィットネス・ヨガ","300002776","フィットネス・ヨガトップス"
"100000008","スポーツ","200000070","フィットネス・ヨガ","320000276","フィットネスシューズ"
"100000008","スポーツ","200000070","フィットネス・ヨガ","320000277","フィットネスマシン"
"100000008","スポーツ","200000070","フィットネス・ヨガ","320000278","ヨガマット"
"100000008","スポーツ","200000070","フィットネス・ヨガ","320000279","その他"
"100000008","スポーツ","200000071","球技スポーツ","300000223","サッカー"
"100000008","スポーツ","200000071","球技スポーツ","300000225","バスケットボール"
"100000008","スポーツ","200000071","球技スポーツ","300000226","ボウリング"
"100000008","スポーツ","200000071","球技スポーツ","300000227","その他"
"100000008","スポーツ","200000071","球技スポーツ","320000280","バレーボール"
"100000008","スポーツ","200000071","球技スポーツ","320001476","ソフトボール"
"100000008","スポーツ","200000071","球技スポーツ","320001477","野球"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","300000229","陸上・ジョギング・マラソン"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","300000230","格闘技"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","300000232","ストリート系スポーツ"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","300000233","その他"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","320000281","卓球"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","320001474","バドミントン"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","320001475","テニス"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","320001478","体操"
"100000008","スポーツ","200000072","ラケット・陸上・格闘技","320001479","ダンス"
"100000008","スポーツ","200000073","ゴルフ用品","300000234","その他"
"100000008","スポーツ","200000073","ゴルフ用品","300000235","クラブ"
"100000008","スポーツ","200000073","ゴルフ用品","300000236","ゴルフ用品・小物"
"100000008","スポーツ","200000073","ゴルフ用品","320000282","ウェア"
"100000008","スポーツ","200000073","ゴルフ用品","320000283","グローブ"
"100000008","スポーツ","200000073","ゴルフ用品","320000284","シューズ"
"100000008","スポーツ","200000073","ゴルフ用品","320000285","バッグ・ケース"
"100000008","スポーツ","200000073","ゴルフ用品","320000286","ヘッドカバー"
"100000008","スポーツ","200000073","ゴルフ用品","320000287","ボール"
"100000008","スポーツ","200000073","ゴルフ用品","320000288","ラウンド用品・小物"
"100000008","スポーツ","200000073","ゴルフ用品","320000289","トレーニング用具"
"100000045","アウトドア","200000074","登山用品","300000237","アウトドアウェア"
"100000045","アウトドア","200000074","登山用品","300000238","トレッキンググッズ"
"100000045","アウトドア","200000074","登山用品","300000239","その他"
"100000045","アウトドア","200000074","登山用品","320001078","登山バッグ"
"100000045","アウトドア","200000075","ウィンタースポーツ","300000243","スノーボード用品"
"100000045","アウトドア","200000075","ウィンタースポーツ","300000244","スキー用品"
"100000045","アウトドア","200000075","ウィンタースポーツ","300000246","その他"
"100000045","アウトドア","200000075","ウィンタースポーツ","320001079","レディースウェア"
"100000045","アウトドア","200000075","ウィンタースポーツ","320001080","メンズウェア"
"100000045","アウトドア","200000075","ウィンタースポーツ","320001081","スキー・スノーボード用アクセサリー"
"100000054","自転車","200000076","自転車本体","300000247","折り畳み自転車"
"100000054","自転車","200000076","自転車本体","300000249","シティ・ロードサイクル"
"100000054","自転車","200000076","自転車本体","300000250","電動アシスト自転車"
"100000054","自転車","200000076","自転車本体","300003417","幼児用・子供用自転車"
"100000054","自転車","200000076","自転車本体","320000982","クロス・ロード・マウンテンバイク"
"100000054","自転車","200000076","自転車本体","320000983","その他"
"100000009","カー用品","200000077","バイク用品","300000253","その他"
"100000009","カー用品","200000077","バイク用品","300003284","ヘルメット"
"100000009","カー用品","200000077","バイク用品","320000291","ヘルメット用アクセサリー・パーツ"
"100000009","カー用品","200000077","バイク用品","320000292","バイクウェア・プロテクター"
"100000009","カー用品","200000077","バイク用品","320000293","パーツ"
"100000009","カー用品","200000077","バイク用品","320000294","アクセサリー"
"100000009","カー用品","200000077","バイク用品","320000296","オイル・添加剤"
"100000009","カー用品","200000077","バイク用品","320000297","バッテリー"
"100000009","カー用品","200000077","バイク用品","320000298","メンテナンス用品"
"100000009","カー用品","200000077","バイク用品","320000299","盗難防止・セキュリティ"
"100000009","カー用品","200000077","バイク用品","320001601","ホイール"
"100000009","カー用品","200000077","バイク用品","320001602","タイヤ"
"100000009","カー用品","200000082","カー用品","300000254","カーナビ"
"100000009","カー用品","200000082","カー用品","300000257","パーツ"
"100000009","カー用品","200000082","カー用品","300000258","その他"
"100000009","カー用品","200000082","カー用品","300002795","バッテリー"
"100000009","カー用品","200000082","カー用品","300002849","タイヤ"
"100000009","カー用品","200000082","カー用品","320000304","アクセサリー"
"100000009","カー用品","200000082","カー用品","320000305","オイル・添加剤"
"100000009","カー用品","200000082","カー用品","320000306","キャリア・ラック"
"100000009","カー用品","200000082","カー用品","320000307","メンテナンス用品"
"100000009","カー用品","200000082","カー用品","320000308","盗難防止・セキュリティ"
"100000009","カー用品","200000082","カー用品","320000309","緊急・応急用品"
"100000009","カー用品","200000082","カー用品","320000310","トラック用品"
"100000015","ベビー・マタニティ","200000112","ベビートイレ・オムツ","300000373","オムツ"
"100000015","ベビー・マタニティ","200000112","ベビートイレ・オムツ","300000374","おしりふき"
"100000015","ベビー・マタニティ","200000112","ベビートイレ・オムツ","320000467","その他"
"100000015","ベビー・マタニティ","200000113","お風呂用品","300000378","ベビーソープ・シャンプー"
"100000015","ベビー・マタニティ","200000113","お風呂用品","320000468","湯上りタオル・ガーゼハンカチ"
"100000015","ベビー・マタニティ","200000113","お風呂用品","320000469","お風呂のおもちゃ"
"100000015","ベビー・マタニティ","200000113","お風呂用品","320000470","その他"
"100000015","ベビー・マタニティ","200000115","マタニティ","300000379","マタニティウェア"
"100000015","ベビー・マタニティ","200000115","マタニティ","300000381","マタニティレギンス・ストッキング"
"100000015","ベビー・マタニティ","200000115","マタニティ","300000382","マタニティトップス"
"100000015","ベビー・マタニティ","200000115","マタニティ","300000384","産後リフォーム用品"
"100000015","ベビー・マタニティ","200000115","マタニティ","300000386","その他"
"100000015","ベビー・マタニティ","200000115","マタニティ","320001581","パジャマ"
"100000015","ベビー・マタニティ","200000115","マタニティ","320001582","下着"
"100000015","ベビー・マタニティ","200000115","マタニティ","320001588","マタニティスカート"
"100000015","ベビー・マタニティ","200000115","マタニティ","320001589","マタニティパンツ"
"100000015","ベビー・マタニティ","200000116","産前・産後小物","300000387","妊娠線クリーム"
"100000015","ベビー・マタニティ","200000116","産前・産後小物","300000389","その他"
"100000015","ベビー・マタニティ","200000116","産前・産後小物","320000471","マタニティ食品"
"100000015","ベビー・マタニティ","200000116","産前・産後小物","320001583","母子手帳ケース"
"100000015","ベビー・マタニティ","200000116","産前・産後小物","320001585","マザーズバッグ"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000390","よだれかけ"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000391","おくるみ"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000392","トップス"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000393","アウター"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000394","ボトムス"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000398","水着"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000399","ベビー靴・靴下"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000400","ベビー下着・パジャマ"
"100000015","ベビー・マタニティ","200000117","ベビー服","300000402","その他"
"100000015","ベビー・マタニティ","200000117","ベビー服","320001577","上下セット"
